0020          ; Grapheme_Base
0021..0023    ; Grapheme_Base
0024          ; Grapheme_Base
0025..0027    ; Grapheme_Base
0028          ; Grapheme_Base
0029          ; Grapheme_Base
002A          ; Grapheme_Base
002B          ; Grapheme_Base
002C          ; Grapheme_Base
002D          ; Grapheme_Base
002E..002F    ; Grapheme_Base
0030..0039    ; Grapheme_Base
003A..003B    ; Grapheme_Base
003C..003E    ; Grapheme_Base
003F..0040    ; Grapheme_Base
0041..005A    ; Grapheme_Base
005B          ; Grapheme_Base
005C          ; Grapheme_Base
005D          ; Grapheme_Base
005E          ; Grapheme_Base
005F          ; Grapheme_Base
0060          ; Grapheme_Base
0061..007A    ; Grapheme_Base
007B          ; Grapheme_Base
007C          ; Grapheme_Base
007D          ; Grapheme_Base
007E          ; Grapheme_Base
00A0          ; Grapheme_Base
00A1          ; Grapheme_Base
00A2..00A5    ; Grapheme_Base
00A6..00A7    ; Grapheme_Base
00A8          ; Grapheme_Base
00A9          ; Grapheme_Base
00AA          ; Grapheme_Base
00AB          ; Grapheme_Base
00AC          ; Grapheme_Base
00AE          ; Grapheme_Base
00AF          ; Grapheme_Base
00B0          ; Grapheme_Base
00B1          ; Grapheme_Base
00B2..00B3    ; Grapheme_Base
00B4          ; Grapheme_Base
00B5          ; Grapheme_Base
00B6          ; Grapheme_Base
00B7          ; Grapheme_Base
00B8          ; Grapheme_Base
00B9          ; Grapheme_Base
00BA          ; Grapheme_Base
00BB          ; Grapheme_Base
00BC..00BE    ; Grapheme_Base
00BF          ; Grapheme_Base
00C0..00D6    ; Grapheme_Base
00D7          ; Grapheme_Base
00D8..00F6    ; Grapheme_Base
00F7          ; Grapheme_Base
00F8..01BA    ; Grapheme_Base
01BB          ; Grapheme_Base
01BC..01BF    ; Grapheme_Base
01C0..01C3    ; Grapheme_Base
01C4..0236    ; Grapheme_Base
0250..02AF    ; Grapheme_Base
02B0..02C1    ; Grapheme_Base
02C2..02C5    ; Grapheme_Base
02C6..02D1    ; Grapheme_Base
02D2..02DF    ; Grapheme_Base
02E0..02E4    ; Grapheme_Base
